timestamp,temperature_celsius,vibration_rms_mm_s,motor_current_amp,ground_truth_label,asset_name
2026-07-01 00:00:00,58.76,3.06,12.2,normal,Motor_12
2026-07-01 00:01:00,59.72,2.837,12.2,normal,Motor_12
2026-07-01 00:02:00,58.13,3.064,12.26,normal,Motor_12
2026-07-01 00:03:00,60.87,3.0,12.57,normal,Motor_12
2026-07-01 00:04:00,59.08,3.043,11.83,normal,Motor_12
2026-07-01 00:05:00,59.93,2.745,11.97,normal,Motor_12
2026-07-01 00:06:00,60.59,3.142,11.75,normal,Motor_12
2026-07-01 00:07:00,60.21,2.927,12.38,normal,Motor_12
2026-07-01 00:08:00,59.42,3.182,11.5,normal,Motor_12
2026-07-01 00:09:00,61.03,3.201,12.12,normal,Motor_12
2026-07-01 00:10:00,60.02,3.138,12.16,normal,Motor_12
2026-07-01 00:11:00,59.73,2.952,11.73,normal,Motor_12
2026-07-01 00:12:00,59.47,3.128,11.53,normal,Motor_12
2026-07-01 00:13:00,59.04,3.123,12.21,normal,Motor_12
2026-07-01 00:14:00,61.0,3.276,12.01,normal,Motor_12
2026-07-01 00:15:00,59.51,2.95,12.19,normal,Motor_12
2026-07-01 00:16:00,60.14,2.95,11.82,normal,Motor_12
2026-07-01 00:17:00,58.96,2.976,11.99,normal,Motor_12
2026-07-01 00:18:00,59.99,3.136,12.21,normal,Motor_12
2026-07-01 00:19:00,61.67,2.858,11.72,normal,Motor_12
2026-07-01 00:20:00,59.18,3.239,12.28,normal,Motor_12
2026-07-01 00:21:00,60.35,3.117,11.89,normal,Motor_12
2026-07-01 00:22:00,59.66,3.071,12.15,normal,Motor_12
2026-07-01 00:23:00,61.11,3.111,11.92,normal,Motor_12
2026-07-01 00:24:00,61.78,2.845,11.9,normal,Motor_12
2026-07-01 00:25:00,61.59,3.268,12.03,normal,Motor_12
2026-07-01 00:26:00,59.12,3.063,11.94,normal,Motor_12
2026-07-01 00:27:00,60.88,3.004,12.48,normal,Motor_12
2026-07-01 00:28:00,58.83,3.065,12.31,normal,Motor_12
2026-07-01 00:29:00,59.27,2.803,11.99,normal,Motor_12
2026-07-01 00:30:00,60.61,3.183,12.25,normal,Motor_12
2026-07-01 00:31:00,60.68,3.093,11.74,normal,Motor_12
2026-07-01 00:32:00,60.3,3.074,12.03,normal,Motor_12
2026-07-01 00:33:00,60.52,3.056,12.31,normal,Motor_12
2026-07-01 00:34:00,60.84,3.204,12.29,normal,Motor_12
2026-07-01 00:35:00,59.53,3.173,12.06,normal,Motor_12
2026-07-01 00:36:00,60.97,3.181,12.33,normal,Motor_12
2026-07-01 00:37:00,59.78,3.021,12.2,normal,Motor_12
2026-07-01 00:38:00,60.69,3.024,12.45,normal,Motor_12
2026-07-01 00:39:00,61.4,3.077,12.25,normal,Motor_12
2026-07-01 00:40:00,61.18,3.211,12.14,normal,Motor_12
2026-07-01 00:41:00,60.39,3.141,12.32,normal,Motor_12
2026-07-01 00:42:00,60.1,3.106,11.93,normal,Motor_12
2026-07-01 00:43:00,61.01,2.621,12.16,normal,Motor_12
2026-07-01 00:44:00,61.48,2.991,12.22,normal,Motor_12
2026-07-01 00:45:00,60.34,3.079,12.03,normal,Motor_12
2026-07-01 00:46:00,60.96,3.133,11.78,normal,Motor_12
2026-07-01 00:47:00,59.87,3.174,11.75,normal,Motor_12
2026-07-01 00:48:00,61.16,3.13,12.9,normal,Motor_12
2026-07-01 00:49:00,61.5,3.233,12.32,normal,Motor_12
2026-07-01 00:50:00,59.93,3.253,12.12,normal,Motor_12
2026-07-01 00:51:00,61.69,2.865,11.91,normal,Motor_12
2026-07-01 00:52:00,59.62,3.445,12.45,normal,Motor_12
2026-07-01 00:53:00,60.13,2.86,11.96,normal,Motor_12
2026-07-01 00:54:00,58.94,3.044,11.87,normal,Motor_12
2026-07-01 00:55:00,60.42,2.875,12.52,normal,Motor_12
2026-07-01 00:56:00,60.49,3.377,12.28,normal,Motor_12
2026-07-01 00:57:00,61.66,3.405,12.28,normal,Motor_12
2026-07-01 00:58:00,61.21,3.048,12.27,normal,Motor_12
2026-07-01 00:59:00,60.08,3.069,12.2,normal,Motor_12
2026-07-01 01:00:00,60.82,3.134,12.08,normal,Motor_12
2026-07-01 01:01:00,60.26,3.13,12.71,normal,Motor_12
2026-07-01 01:02:00,60.05,3.427,12.01,normal,Motor_12
2026-07-01 01:03:00,61.35,3.225,11.97,normal,Motor_12
2026-07-01 01:04:00,59.82,3.22,12.58,normal,Motor_12
2026-07-01 01:05:00,61.15,3.119,12.08,normal,Motor_12
2026-07-01 01:06:00,60.25,2.944,12.63,normal,Motor_12
2026-07-01 01:07:00,61.75,2.98,12.18,normal,Motor_12
2026-07-01 01:08:00,60.23,3.164,12.13,normal,Motor_12
2026-07-01 01:09:00,60.41,2.864,12.38,normal,Motor_12
2026-07-01 01:10:00,60.67,3.204,12.75,normal,Motor_12
2026-07-01 01:11:00,61.09,2.992,12.14,normal,Motor_12
2026-07-01 01:12:00,61.63,2.753,12.16,normal,Motor_12
2026-07-01 01:13:00,60.99,3.09,12.78,normal,Motor_12
2026-07-01 01:14:00,62.08,2.861,12.08,normal,Motor_12
2026-07-01 01:15:00,61.32,3.125,12.37,normal,Motor_12
2026-07-01 01:16:00,61.1,3.175,12.56,normal,Motor_12
2026-07-01 01:17:00,61.71,3.14,12.74,normal,Motor_12
2026-07-01 01:18:00,61.72,3.066,12.59,normal,Motor_12
2026-07-01 01:19:00,61.96,3.163,12.07,normal,Motor_12
2026-07-01 01:20:00,61.27,3.141,12.66,normal,Motor_12
2026-07-01 01:21:00,61.79,3.163,12.17,normal,Motor_12
2026-07-01 01:22:00,61.26,3.122,12.76,normal,Motor_12
2026-07-01 01:23:00,60.58,3.14,12.39,normal,Motor_12
2026-07-01 01:24:00,61.39,3.263,12.84,normal,Motor_12
2026-07-01 01:25:00,60.81,3.155,12.76,normal,Motor_12
2026-07-01 01:26:00,61.1,3.36,12.17,normal,Motor_12
2026-07-01 01:27:00,61.57,3.091,12.12,normal,Motor_12
2026-07-01 01:28:00,60.7,3.007,11.96,normal,Motor_12
2026-07-01 01:29:00,59.96,3.148,12.41,normal,Motor_12
2026-07-01 01:30:00,61.64,3.35,12.24,normal,Motor_12
2026-07-01 01:31:00,62.52,3.094,11.75,normal,Motor_12
2026-07-01 01:32:00,60.15,3.115,12.33,normal,Motor_12
2026-07-01 01:33:00,60.6,3.096,11.89,normal,Motor_12
2026-07-01 01:34:00,63.19,3.152,12.63,normal,Motor_12
2026-07-01 01:35:00,60.92,3.159,12.32,normal,Motor_12
2026-07-01 01:36:00,58.6,2.866,12.62,normal,Motor_12
2026-07-01 01:37:00,62.57,3.34,12.9,normal,Motor_12
2026-07-01 01:38:00,61.69,3.035,12.27,normal,Motor_12
2026-07-01 01:39:00,62.18,3.33,12.18,normal,Motor_12
2026-07-01 01:40:00,61.73,3.321,11.79,normal,Motor_12
2026-07-01 01:41:00,60.82,3.086,11.94,normal,Motor_12
2026-07-01 01:42:00,61.91,3.12,12.2,normal,Motor_12
2026-07-01 01:43:00,59.99,3.187,12.13,normal,Motor_12
2026-07-01 01:44:00,61.69,3.16,12.28,normal,Motor_12
2026-07-01 01:45:00,61.29,3.401,12.45,normal,Motor_12
2026-07-01 01:46:00,61.91,2.986,12.19,normal,Motor_12
2026-07-01 01:47:00,60.63,3.317,12.16,normal,Motor_12
2026-07-01 01:48:00,61.45,3.139,12.36,normal,Motor_12
2026-07-01 01:49:00,61.6,3.072,11.94,normal,Motor_12
2026-07-01 01:50:00,61.31,3.23,12.52,normal,Motor_12
2026-07-01 01:51:00,60.99,3.153,12.52,normal,Motor_12
2026-07-01 01:52:00,61.99,3.018,12.3,normal,Motor_12
2026-07-01 01:53:00,59.63,3.0,12.47,normal,Motor_12
2026-07-01 01:54:00,60.95,3.051,12.08,normal,Motor_12
2026-07-01 01:55:00,60.47,3.004,12.2,normal,Motor_12
2026-07-01 01:56:00,60.58,3.158,12.27,normal,Motor_12
2026-07-01 01:57:00,63.66,3.244,12.18,normal,Motor_12
2026-07-01 01:58:00,60.91,3.341,12.24,normal,Motor_12
2026-07-01 01:59:00,62.06,2.999,12.5,normal,Motor_12
2026-07-01 02:00:00,60.95,3.028,12.83,normal,Motor_12
2026-07-01 02:01:00,61.59,3.122,12.24,normal,Motor_12
2026-07-01 02:02:00,62.3,2.848,12.89,normal,Motor_12
2026-07-01 02:03:00,61.32,3.1,12.61,normal,Motor_12
2026-07-01 02:04:00,61.56,3.098,12.98,normal,Motor_12
2026-07-01 02:05:00,62.09,3.135,12.36,normal,Motor_12
2026-07-01 02:06:00,61.42,3.181,12.61,normal,Motor_12
2026-07-01 02:07:00,60.62,3.245,13.1,normal,Motor_12
2026-07-01 02:08:00,61.02,3.349,12.78,normal,Motor_12
2026-07-01 02:09:00,62.61,3.482,12.15,normal,Motor_12
2026-07-01 02:10:00,61.22,3.332,12.18,normal,Motor_12
2026-07-01 02:11:00,61.04,3.275,12.78,normal,Motor_12
2026-07-01 02:12:00,60.96,3.434,12.21,normal,Motor_12
2026-07-01 02:13:00,61.33,3.106,12.36,normal,Motor_12
2026-07-01 02:14:00,61.57,3.212,13.52,normal,Motor_12
2026-07-01 02:15:00,61.95,2.74,12.62,normal,Motor_12
2026-07-01 02:16:00,61.12,3.402,11.97,normal,Motor_12
2026-07-01 02:17:00,61.71,2.947,12.83,normal,Motor_12
2026-07-01 02:18:00,63.12,3.096,12.0,normal,Motor_12
2026-07-01 02:19:00,61.29,3.145,12.2,normal,Motor_12
2026-07-01 02:20:00,61.84,3.153,12.61,normal,Motor_12
2026-07-01 02:21:00,61.82,3.219,12.28,normal,Motor_12
2026-07-01 02:22:00,62.04,3.042,12.74,normal,Motor_12
2026-07-01 02:23:00,62.47,2.964,12.77,normal,Motor_12
2026-07-01 02:24:00,61.51,3.34,12.45,normal,Motor_12
2026-07-01 02:25:00,62.86,3.041,12.81,normal,Motor_12
2026-07-01 02:26:00,61.23,3.316,12.45,normal,Motor_12
2026-07-01 02:27:00,60.65,3.302,12.24,normal,Motor_12
2026-07-01 02:28:00,62.67,3.257,12.64,normal,Motor_12
2026-07-01 02:29:00,61.72,3.24,12.33,normal,Motor_12
2026-07-01 02:30:00,61.16,3.161,12.64,normal,Motor_12
2026-07-01 02:31:00,61.57,3.243,12.37,normal,Motor_12
2026-07-01 02:32:00,60.57,3.37,13.02,normal,Motor_12
2026-07-01 02:33:00,62.89,3.464,12.4,normal,Motor_12
2026-07-01 02:34:00,60.74,3.401,12.33,normal,Motor_12
2026-07-01 02:35:00,61.72,3.113,12.86,normal,Motor_12
2026-07-01 02:36:00,61.6,3.203,12.49,normal,Motor_12
2026-07-01 02:37:00,60.05,3.421,12.18,normal,Motor_12
2026-07-01 02:38:00,61.8,3.376,12.79,normal,Motor_12
2026-07-01 02:39:00,61.93,2.798,12.43,normal,Motor_12
2026-07-01 02:40:00,62.48,3.012,12.95,normal,Motor_12
2026-07-01 02:41:00,62.19,2.914,12.61,normal,Motor_12
2026-07-01 02:42:00,62.54,3.326,12.54,normal,Motor_12
2026-07-01 02:43:00,62.66,2.828,12.57,normal,Motor_12
2026-07-01 02:44:00,62.25,3.227,13.01,normal,Motor_12
2026-07-01 02:45:00,61.66,3.158,12.38,normal,Motor_12
2026-07-01 02:46:00,63.61,3.163,12.19,normal,Motor_12
2026-07-01 02:47:00,60.89,3.27,12.63,normal,Motor_12
2026-07-01 02:48:00,61.76,3.261,12.37,normal,Motor_12
2026-07-01 02:49:00,61.75,3.406,12.87,normal,Motor_12
2026-07-01 02:50:00,61.47,3.06,12.94,normal,Motor_12
2026-07-01 02:51:00,61.48,3.429,12.39,normal,Motor_12
2026-07-01 02:52:00,61.53,2.737,12.5,normal,Motor_12
2026-07-01 02:53:00,61.83,3.126,13.01,normal,Motor_12
2026-07-01 02:54:00,62.08,3.141,12.77,normal,Motor_12
2026-07-01 02:55:00,61.12,3.304,12.66,normal,Motor_12
2026-07-01 02:56:00,61.38,3.121,12.96,normal,Motor_12
2026-07-01 02:57:00,61.02,3.22,12.57,normal,Motor_12
2026-07-01 02:58:00,62.05,2.962,12.68,normal,Motor_12
2026-07-01 02:59:00,62.82,3.149,12.83,normal,Motor_12
2026-07-01 03:00:00,61.52,3.05,12.92,normal,Motor_12
2026-07-01 03:01:00,62.59,3.303,12.66,normal,Motor_12
2026-07-01 03:02:00,63.34,3.26,12.94,normal,Motor_12
2026-07-01 03:03:00,62.41,3.017,12.98,normal,Motor_12
2026-07-01 03:04:00,61.84,3.293,12.57,normal,Motor_12
2026-07-01 03:05:00,63.03,3.173,12.8,normal,Motor_12
2026-07-01 03:06:00,61.99,3.431,12.2,normal,Motor_12
2026-07-01 03:07:00,62.42,3.605,12.79,normal,Motor_12
2026-07-01 03:08:00,62.6,2.986,13.1,normal,Motor_12
2026-07-01 03:09:00,60.93,3.29,12.93,normal,Motor_12
2026-07-01 03:10:00,63.31,3.318,12.94,normal,Motor_12
2026-07-01 03:11:00,62.61,3.249,12.65,normal,Motor_12
2026-07-01 03:12:00,63.64,3.076,13.24,normal,Motor_12
2026-07-01 03:13:00,64.21,3.168,12.72,normal,Motor_12
2026-07-01 03:14:00,63.63,3.157,12.49,normal,Motor_12
2026-07-01 03:15:00,62.54,3.378,12.6,normal,Motor_12
2026-07-01 03:16:00,61.98,3.317,12.92,normal,Motor_12
2026-07-01 03:17:00,61.0,3.244,12.58,normal,Motor_12
2026-07-01 03:18:00,62.14,3.189,12.93,normal,Motor_12
2026-07-01 03:19:00,62.44,3.249,12.76,normal,Motor_12
2026-07-01 03:20:00,62.45,3.11,12.74,normal,Motor_12
2026-07-01 03:21:00,62.32,3.266,12.63,normal,Motor_12
2026-07-01 03:22:00,61.73,3.293,12.35,normal,Motor_12
2026-07-01 03:23:00,62.01,3.434,12.8,normal,Motor_12
2026-07-01 03:24:00,63.43,3.216,12.79,normal,Motor_12
2026-07-01 03:25:00,62.38,3.18,12.63,normal,Motor_12
2026-07-01 03:26:00,62.33,3.308,12.89,normal,Motor_12
2026-07-01 03:27:00,62.27,3.505,13.24,normal,Motor_12
2026-07-01 03:28:00,62.29,3.248,12.24,normal,Motor_12
2026-07-01 03:29:00,62.28,3.295,12.78,normal,Motor_12
2026-07-01 03:30:00,63.69,3.123,12.79,normal,Motor_12
2026-07-01 03:31:00,62.08,3.27,12.43,normal,Motor_12
2026-07-01 03:32:00,61.92,3.208,13.33,normal,Motor_12
2026-07-01 03:33:00,62.77,3.403,12.75,normal,Motor_12
2026-07-01 03:34:00,61.52,3.415,13.1,normal,Motor_12
2026-07-01 03:35:00,62.25,3.05,13.02,normal,Motor_12
2026-07-01 03:36:00,62.62,3.132,13.49,normal,Motor_12
2026-07-01 03:37:00,63.05,3.374,12.81,normal,Motor_12
2026-07-01 03:38:00,62.34,3.177,12.43,normal,Motor_12
2026-07-01 03:39:00,62.1,3.205,12.62,normal,Motor_12
2026-07-01 03:40:00,62.64,3.176,13.44,normal,Motor_12
2026-07-01 03:41:00,62.14,3.183,13.17,normal,Motor_12
2026-07-01 03:42:00,61.01,3.102,12.86,normal,Motor_12
2026-07-01 03:43:00,63.28,3.395,13.5,normal,Motor_12
2026-07-01 03:44:00,62.49,3.095,12.65,normal,Motor_12
2026-07-01 03:45:00,63.45,3.227,12.3,normal,Motor_12
2026-07-01 03:46:00,62.5,3.144,12.57,normal,Motor_12
2026-07-01 03:47:00,63.84,3.294,12.77,normal,Motor_12
2026-07-01 03:48:00,64.54,2.981,12.51,normal,Motor_12
2026-07-01 03:49:00,61.95,2.786,12.55,normal,Motor_12
2026-07-01 03:50:00,63.11,3.366,12.47,normal,Motor_12
2026-07-01 03:51:00,61.81,3.402,13.39,normal,Motor_12
2026-07-01 03:52:00,62.67,3.211,12.87,normal,Motor_12
2026-07-01 03:53:00,61.97,3.531,13.29,normal,Motor_12
2026-07-01 03:54:00,62.48,3.092,12.73,normal,Motor_12
2026-07-01 03:55:00,63.34,3.266,12.59,normal,Motor_12
2026-07-01 03:56:00,63.45,3.293,12.88,normal,Motor_12
2026-07-01 03:57:00,63.04,3.345,12.73,normal,Motor_12
2026-07-01 03:58:00,62.55,3.18,12.65,normal,Motor_12
2026-07-01 03:59:00,63.57,3.367,13.34,normal,Motor_12
2026-07-01 04:00:00,64.13,3.035,12.45,normal,Motor_12
2026-07-01 04:01:00,62.73,3.249,12.68,normal,Motor_12
2026-07-01 04:02:00,63.77,3.079,13.4,normal,Motor_12
2026-07-01 04:03:00,62.36,3.319,13.07,normal,Motor_12
2026-07-01 04:04:00,63.85,3.021,12.46,normal,Motor_12
2026-07-01 04:05:00,62.02,3.462,13.31,normal,Motor_12
2026-07-01 04:06:00,63.45,3.3,13.04,normal,Motor_12
2026-07-01 04:07:00,63.98,3.206,13.28,normal,Motor_12
2026-07-01 04:08:00,62.36,3.245,12.87,normal,Motor_12
2026-07-01 04:09:00,62.3,3.242,12.77,normal,Motor_12
2026-07-01 04:10:00,62.15,3.27,13.16,normal,Motor_12
2026-07-01 04:11:00,62.19,3.236,12.65,normal,Motor_12
2026-07-01 04:12:00,62.84,3.283,12.55,normal,Motor_12
2026-07-01 04:13:00,62.13,3.153,13.04,normal,Motor_12
2026-07-01 04:14:00,62.6,3.444,12.5,normal,Motor_12
2026-07-01 04:15:00,62.23,3.162,12.55,normal,Motor_12
2026-07-01 04:16:00,61.06,3.355,12.53,normal,Motor_12
2026-07-01 04:17:00,61.82,3.187,12.81,normal,Motor_12
2026-07-01 04:18:00,62.33,3.396,12.77,normal,Motor_12
2026-07-01 04:19:00,63.67,2.953,12.44,normal,Motor_12
2026-07-01 04:20:00,61.87,3.209,12.62,normal,Motor_12
2026-07-01 04:21:00,62.7,3.22,12.93,normal,Motor_12
2026-07-01 04:22:00,61.68,3.367,13.07,normal,Motor_12
2026-07-01 04:23:00,62.47,3.225,13.11,normal,Motor_12
2026-07-01 04:24:00,63.43,2.945,13.18,normal,Motor_12
2026-07-01 04:25:00,63.01,3.068,13.11,normal,Motor_12
2026-07-01 04:26:00,62.88,3.402,12.86,normal,Motor_12
2026-07-01 04:27:00,62.41,3.401,12.83,normal,Motor_12
2026-07-01 04:28:00,63.53,3.268,13.36,normal,Motor_12
2026-07-01 04:29:00,63.09,3.386,12.91,normal,Motor_12
2026-07-01 04:30:00,62.01,3.241,12.89,normal,Motor_12
2026-07-01 04:31:00,63.67,3.229,12.45,normal,Motor_12
2026-07-01 04:32:00,62.68,3.384,13.02,normal,Motor_12
2026-07-01 04:33:00,62.16,3.265,12.23,normal,Motor_12
2026-07-01 04:34:00,63.98,3.294,12.62,normal,Motor_12
2026-07-01 04:35:00,61.99,3.21,12.31,normal,Motor_12
2026-07-01 04:36:00,62.66,3.677,12.9,normal,Motor_12
2026-07-01 04:37:00,63.25,3.287,13.0,normal,Motor_12
